index,adoptionStatusCd,age,animalSeq,classification,fileNm,filePath,foundPlace,gender,gu,hairColor,hitCnt,memo,modDtTm,regDtTm,regId,rescueDate,species,weight
35,1,1.5개월령(추정),43390,1,23-3-242.jpg,202307/20230728010319212.jpg,한밭대로 570 인근,1,3,황색,711,상태양호 & 유치잔존 & 홍역음성(7/28) & 파보음성(7/28) & 코로나음성(7/28),2023-07-28,2023-07-28,23-3-242,2023-07-28,믹스,1.9kg
36,1,3개월령(추정),43389,1,23-3-241.jpg,202307/20230728010239615.jpg,도마동 557-2 인근,1,3,흑황백색,121,유치잔존 & 상태양호 & 온순 & 홍역음성(7/28) & 파보음성(7/28) 코로나음성(7/28),2023-07-28,2023-07-28,23-3-241,2023-07-28,믹스,5.6kg
37,7,3개월령(추정),43388,1,23-1-228.jpg,202307/20230728010204688.jpg,대전복합터미널 인근,2,1,백색,258,편측잠복고환 & 유치 & 온순 & 홍역음성(7/28) & 파보음성(7/28) & 코로나음성(7/28),2023-07-29,2023-07-28,23-1-228,2023-07-28,포메라이언,2.1kg
38,1,2년령(추정),43387,2,23-3-240.jpg,202307/20230728010125846.jpg,괴곡길 455-3 인근,4,3,백색,434,온순 & 야윔 & 파보음성(7/28) & 파보음성(8/4),2023-08-05,2023-07-28,23-3-240,2023-07-27,페르시안,2.7kg
39,1,3년령(추정),43386,1,23-1-227.jpg,202307/20230728040327471.jpg,은어송 2단지 인근,2,1,흑백색,246,방울목줄착용 & 경계심 & 상태양호 & 홍역음성(7/28) & 파보음성(7/28) & 코로나음성(7/28),2023-07-28,2023-07-28,23-1-227,2023-07-27,믹스,3.1kg
40,1,3년령(추정),43385,1,23-5-138.jpg,202307/20230727033254265.jpg,상서동 철도기계창 주변,2,5,흑황색,206,진드기 & 겁많음 & 피부각질 & 홍역음성(7/27) & 파보음성(7/27) & 코로나음성(7/27),2023-07-27,2023-07-27,23-5-138,2023-07-27,진도,11.2kg
41,11,35일령(추정),43383,2,23-2-200.jpg,202307/20230727032956176.jpg,문화동 선비할인마트 주변,5,2,회백색,466,주민참여임시보호(7/27~9/26),2023-07-27,2023-07-27,23-2-200,2023-07-27,코리안숏헤어,0.35kg(추정)
42,1,2년령(추정),43382,1,23-2-199.jpg,202307/20230727121927442.jpg,문창동 75-116번지 제일동물병원 주변,4,2,흑색,369,기침 & 맑은콧물 & 비만 & 치석 & 홍역음성(7/27) & 파보음성(7/27) & 코로나음성(7/27),2023-07-27,2023-07-27,23-2-199,2023-07-27,퍼그,7.6kg
43,6,50일령(추정),43381,2,23-5-137.jpg,202307/20230727121848471.jpg,대전로1331번길 190 디엔에프2공장 주변,5,5,회백색,44,교통사고,2023-07-27,2023-07-27,23-5-137,2023-07-27,코리안숏헤어,0.5kg(추정)
44,9,3년령(추정),43380,1,23-5-136.jpg,202307/20230727043359311.jpg,신탄진동 134-8번지 주변,1,5,황백색,486,*동물등록입소개체* 칩존재 & 치석없음 & 상태양호 & 홍역음성(7/27) & 파보음성(7/27) & 코로나음성(7/27) & 파보음성(8/3) & 코로나음성(8/3),2023-08-04,2023-07-27,23-5-136,2023-07-26,시츄,4.3kg
45,8,2년령(추정),43379,2,23-5-135.jpg,202307/20230726052625966.jpg,대덕구 비래동 롯데리아 부근,2,5,백색,512,신고자입양희망 & 신고자임시보호(7/26),2023-07-26,2023-07-26,23-5-135,2023-07-26,페르시안,3kg(추정)
46,7,5년령(추정),43378,1,23-2-198.jpg,202307/20230726022151378.jpg,대사동 산1-65 보문산전망대 주변,1,2,흑황색,115,,2023-07-27,2023-07-26,23-2-198,2023-07-26,진도,20kg(추정)
47,1,2년령(추정),43377,1,23-2-197.jpg,202307/20230726022108180.jpg,정생동 319-1번지 주변,1,2,황색,304,상태양호 & 홍역음성(7/26) & 파보음성(7/26) 코로나음성(7/26) & 파보음성(8/3) & 코로나음성(8/3),2023-08-04,2023-07-26,23-2-197,2023-07-26,믹스,6.5kg
48,1,2년령(추정),43376,3,23-2-196.jpg,202307/20230727111615607.jpg,유천동 140-19 번지 주변,5,2,흑황색,284,,2023-07-27,2023-07-26,23-2-196,2023-07-25,닭,2kg
49,6,5개월령(춪어),43375,2,,,무지니1길6 주변,1,5,흑황색,5,교통사고,2023-07-26,2023-07-26,23-5-134,2023-07-26,코리안숏헤어,1kg(추정)
50,7,2년령(추정),43374,1,23-3-239.jpg,202307/20230726120432322.jpg,변동 23-25 인근,1,3,백색,51,*동물등록입소개체* 칩존재 & 홍역음성(7/26) & 파보음성(7/26) & 코로나음성(7/26),2023-07-27,2023-07-26,23-3-239,2023-07-25,말티즈,4kg
51,7,2년령(추정),43373,1,23-3-238.jpg,202307/20230726120202390.jpg,배재로 99-9 인근,2,3,흑황색,2,현장반환,2023-07-26,2023-07-26,23-3-238,2023-07-25,시바,8kg(추정)
52,1,3년령(추정),43372,1,23-1-226.jpg,202307/20230726120121321.jpg,동중앙로 81-1 인근,4,1,백색,719,가슴줄착용 & 목줄착용 & 치석 & 경계심심함 & 홍역음성(7/26) & 파보음성(7/26) & 코로나음성(7/26),2023-07-27,2023-07-26,23-1-226,2023-07-26,비숑프리제,6.3kg
53,1,3년령(추정),43371,1,23-1-225.jpg,202307/20230726120048670.jpg,이스트시트 2단지 인근,1,1,황백색,344,홍역음성(7/26) & 파보음성(7/26) & 코로나음성(7/26) & 파보음성(8/3) & 코로나음성(8/3),2023-08-05,2023-07-26,23-1-225,2023-07-25,믹스,4.2kg
54,7,10년령(추정),43370,1,23-1-224.jpg,202307/20230726120010473.jpg,가양1동 동사무소 인근,2,1,백색,2,현장반환,2023-07-26,2023-07-26,23-1-224,2023-07-25,말티즈,3kg(추정)
55,1,2개월령(추정),43369,2,23-2-195.jpg,202307/20230726093608144.jpg,용두동 용두주민센터 주변,1,2,삼색,563,접종일령미달 & 파보음성(7/26) & 파보음성(8/4),2023-08-05,2023-07-26,23-2-195,2023-07-25,코리안숏헤어,0.42kg
56,7,3년령(추정),43368,1,23-2-194.jpg,202307/20230726093352026.jpg,태평동 420-1 새롬@ 103동 주변,1,2,황백색,3,*동물등록개체* 칩존재,2023-07-26,2023-07-26,23-2-194,2023-07-25,웰시코기,12kg(추정)
57,7,3년령(추정),43367,1,23-2-193.jpg,202307/20230726093039100.jpg,산성동 306-59번지 주변,2,2,황백색,14,*동물등록개체* 칩존재 &  옷 및 반도착용,2023-07-26,2023-07-26,23-2-193,2023-07-25,믹스,4kg(추정)
58,7,4년령(추정),43366,1,23-4-225.jpg,202307/20230725115602439.jpg,봉산동 구즉파출소 주변,2,4,흑백색,61,,2023-07-25,2023-07-25,23-4-225,2023-07-24,슈나우져,9kg(추정)
59,6,4개월령(추정),43365,2,23-3-237.jpg,202307/20230725115521431.jpg,구봉산북로21번길 2 인근,2,3,황백색,27,교통사고 추정 & 외부병원 응급진료 & 후지마비,2023-07-25,2023-07-25,23-3-237,2023-07-24,코리안숏헤어,0.8kg(추정)
60,7,2020(년생),43364,1,,,법동 안산도서관 주변,2,5,삼색,2,현장반환,2023-07-25,2023-07-25,23-5-133,2023-07-23,잉글리쉬세터,18(Kg)
61,7,8년령(추정),43363,1,23-2-192.jpg,202307/20230725115322678.jpg,옥계동 솔빛아파트 주변,2,2,백색,25,*동물등록개체* 칩존재 & 목줄 및 리드줄 착용,2023-07-25,2023-07-25,23-2-192,2023-07-24,믹스,5kg(추정)
62,5,2023(년생),43362,2,,,보문로 145 번길 14 주변,1,2,삼색,2,,2023-07-25,2023-07-25,23-2-190,2023-07-24,코리안숏헤어,1.00(Kg)
63,9,3년령(추정),43361,1,23-2-191.jpg,202307/20230725115213098.jpg,산성동 한밭가든@ 주변,1,2,황색,599,*동물등록개체* 칩존재 & 신고자입양희망 & 치석 & 홍역음성(7/25) & 파보음성(7/25) & 코로나음성(7/25) & 파보음성(8/3) & 코로나음성(8/3),2023-08-04,2023-07-25,23-2-191,2023-07-24,푸들,3.4kg
64,7,13년령(추정),43360,1,23-1-223.jpg,202307/20230725115021447.jpg,판암2동사무소 인근,1,1,흑회색,2,,2023-07-25,2023-07-25,23-1-223,2023-07-24,삽살개,20kg(추정)
65,7,1년령(추정),43359,1,23-1-222.jpg,202307/20230725114940014.jpg,용운동 인근,1,1,흑황색,2,현장반환,2023-07-25,2023-07-25,23-1-222,2023-07-24,믹스,23kg
66,7,3년령(추정),43358,1,23-1-221.jpg,202307/20230725114855553.jpg,판암동 471 인근,2,1,황백색,2,칩존재,2023-07-25,2023-07-25,23-1-221,2023-07-24,시바,10kg(추정)
67,7,4년령(추정),43357,1,23-3-236.jpg,202307/20230723103603463.jpg,둔산소방서 인근,2,3,황색,8,*동물등록입소개체* 칩존재,2023-07-23,2023-07-23,23-3-236,2023-07-22,푸들,4kg(추정)
68,5,3일령(추정),43356,2,23-3-235.jpg,202307/20230723103351619.jpg,복수동 센트럴자이@ 인근,2,3,회백색,486,박스채발견 & 눈 안뜸 & 검사불가 & 접종불가,2023-07-29,2023-07-23,23-3-235,2023-07-22,코리안숏헤어,0.075kg
69,2,7년령(추정),43355,1,23-5-132.jpg,202307/20230722033336201.jpg,장동로 277-6 주변,2,5,황회색,691,아래앞니다수소실 & 치석있음 & 진드기 & 진흙오염(털) & 양측후지슬개골탈구 & 홍역음성(7/22) &파보음성(7/22) & 코로나음성(7/22),2023-07-22,2023-07-22,23-5-132,2023-07-22,요크셔테리어,4.25kg
70,7,5년령(추정),43354,1,23-1-220.jpg,202307/20230722024532707.jpg,대동 이스트시티@ 인근,2,1,흑황색,10,목줄 및 리드줄 착용,2023-07-22,2023-07-22,23-1-220,2023-07-22,믹스,22kg(추정)
71,7,9년령(추정),43353,1,23-1-219.jpg,202307/20230722024502363.jpg,삼성동 삼성타운@ 인근,1,1,황색,3,현장반환,2023-07-22,2023-07-22,23-1-219,2023-07-21,포메라이언,4kg(추정)
72,7,4년령(추정),43352,1,23-2-189.jpg,202307/20230722103514431.jpg,대종로71번길 148 주변,1,2,회백색,52,*동물등록입소개체*칩존재 & 체인목줄 및 리드줄 착용 & 좌측외이도발적 & 털엉킴 & 마름 & 홍역음성(7/22) & 파보음성(7/22) 코로나음성(7/22),2023-07-22,2023-07-22,23-2-189,2023-07-22,믹스,14.6kg
73,7,7년령(추정),43351,1,23-2-188.jpg,202307/20230722103415577.jpg,유천동 주민센터 주변,4,2,백색,25,*동물등록입소개체*칩존재,2023-07-22,2023-07-22,23-2-188,2023-07-22,말티즈,3kg(추정)
74,1,1년령(추정),43350,3,23-1-218.jpg,202307/20230721052017373.jpg,대동 펜타뷰@ 인근,5,1,회백색,524,특이사항없음,2023-07-22,2023-07-21,23-1-218,2023-07-20,햄스터,0.04kg(추정)
75,1,2개월령(추정),43349,1,23-1-217.jpg,202307/20230721051938558.jpg,산내로 953 인근,1,1,황백색,1069,모두유치 & 홍역음성(7/22) & 파보음성(7/22) & 코로나음성(7/22),2023-07-22,2023-07-21,23-1-217,2023-07-20,믹스,1.45kg
76,1,1년령(추정),43348,1,23-1-216.jpg,202307/20230721051912103.jpg,중동 50-1 인근,1,1,황백색,449,좌측상안검약간의부종및발적 & 유선약간발달 & 양측슬개골탈구 & 홍역음성(7/22) & 파보음성(7/22) & 코로나음성(7/22) & 파보음성(8/3) & 코로나음성(8/3),2023-08-04,2023-07-21,23-1-216,2023-07-20,치와와,3.3kg
77,7,6년령(추정),43347,1,23-2-187.jpg,202307/20230721011205781.jpg,사정동 476번지 주변,1,2,백색,16,*동물등록입소개체*칩존재 & 우측전지에종괴(2cm) & 홍역음성(7/21) & 파보음성(7/21) & 코로나음성(7/21),2023-07-21,2023-07-21,23-2-187,2023-07-21,진도,17kg
78,2,3개월령(추정),43346,2,23-2-186.jpg,202307/20230721031408599.jpg,용두로 24-40 번길 주변,1,2,회백색,939,교통사고 & 외부병원진료 & 꼬리끝꺾임 & 화농성콧물 & 심하게야윔 & 흉부쓸림상처 & 파보음성(7/21),2023-08-03,2023-07-21,23-2-186,2023-07-20,코리안숏헤어,0.4kg
79,2,3년령(추정),43345,1,23-1-215.jpg,202307/20230720012736390.jpg,우송대 인근,4,1,황색,593,치석 & 단미 & 좌측후지슬개골탈구 & 부정교합 & 홍역음성(7/20) & 파보음성(7/20) & 코로나음성(7/20),2023-08-04,2023-07-20,23-1-215,2023-07-19,푸들,5.88kg
80,7,3년령(추정),43344,1,23-2-185.jpg,202307/20230719052652974.jpg,오류동 178-1 주변,4,2,흑백색,93,*동물등록입소개체*칩존재 & 미용,2023-07-20,2023-07-19,23-2-185,2023-07-19,미니어쳐슈나우저,4kg(추정)
81,3,7개월령(추정),43343,2,23-1-214.jpg,202307/20230719024254702.jpg,자양동 신동아@ 인근,2,1,회색,1021,말라있음 & 온순 & 양쪽눈위탈모 & 파보음성(7/19),2023-08-03,2023-07-19,23-1-214,2023-07-19,러시안블루,1.5kg
82,7,3년령(추정),43342,1,23-3-234.jpg,202307/20230719024215389.jpg,가장동 삼성래미안@ 인근,4,3,흑백색,214,홍역음성(7/19) & 파보음성(7/19) 코로나음성(7/19),2023-07-23,2023-07-19,23-3-234,2023-07-19,아메리칸불리,19.9kg
83,2,3년령(추정),43341,1,23-3-233.jpg,202307/20230719024140891.jpg,가장동 53-1 인근,4,3,백색,1397,머리핀 & 안구충혈 & 온순 & 관리잘되어있음 & 홍역음성(7/19) & 파보음성(7/19) & 코로나음성(7/19),2023-08-05,2023-07-19,23-3-233,2023-07-19,비숑프리제,7.1kg
84,7,3년령(추정),43340,1,23-2-184.jpg,202307/20230719111058967.jpg,학고개로14번길 주변,1,2,삼색,192,목줄착용 & 목줄착용 & 진드기 & 홍역음성(7/19) & 파보음성(7/19) & 코로나음성(7/19),2023-07-22,2023-07-19,23-2-184,2023-07-19,비글,10.7kg
85,7,2년령(추정),43339,1,23-2-183.jpg,202307/20230719095933653.jpg,대종로 510 우리동네한식뷔페 주변,2,2,황백색,62,목줄 및 리드줄 착용,2023-07-19,2023-07-19,23-2-183,2023-07-18,믹스,5kg(추정)
86,7,2년령(추정),43338,1,23-1-213.jpg,202307/20230718025645624.jpg,이사동 55-3 인근,2,1,흑황색,137,신고자입양희망 & 임시보호,2023-07-20,2023-07-18,23-1-213,2023-07-18,믹스,20kg(추정)
87,6,4년령(추정),43337,1,23-3-231.jpg,202307/20230718025344188.jpg,백목련 아파트 인근,1,3,백색,199,우측 요골 척골 근위부 골절 & 진드기 & 홍역음성(7/18) & 파보음성(7/18) & 코로나음성(7/18),2023-07-29,2023-07-18,23-3-231,2023-07-16,믹스,13kg
88,7,2년령(추정),43336,2,23-2-182.jpg,202307/20230718011830296.jpg,부사동 242-8번지 주변,4,2,흑백색,59,방울달린 진드기 예방목줄착용 & 파보음성(7/18),2023-07-18,2023-07-18,23-2-182,2023-07-18,코리안숏헤어,5.3kg
89,7,3년령(추정),43335,1,23-3-232.jpg,202307/20230718011745306.jpg,만년동 281 상록수@ 인근,2,3,백색,141,양측 늑골부위 비대(지방종) & 양측 천골위쪽 비대 & 치석 & 좌측 뒤꿈치 상처 & 우측 가슴 지방종 & 홍역음성(7/18) & 파보음성(7/18) & 코로나음성(7/18),2023-07-19,2023-07-18,23-3-232,2023-07-17,말티즈,5.3kg
90,5,1년령(추정),43334,1,23-5-131.jpg,202307/20230718100117065.jpg,오정동 305-10번지 목림대원 주변,1,5,황색,3,교통사고 & 외부병원 응급진료 & 폐사체 인계,2023-07-18,2023-07-18,23-5-131,2023-07-17,믹스,12kg(추정)
91,7,4년령(추정),43333,1,23-4-224.jpg,202307/20230718100029578.jpg,동서대로 176 번길 주변,1,4,백색,133,진드기 & 치석 & 홍역음성(7/18) & 파보음성(7/18) & 코로나음성(7/18),2023-07-23,2023-07-18,23-4-224,2023-07-17,진도,23kg
92,2,2년령(추정),43332,1,23-3-229.jpg,202307/20230717104710278.jpg,둔산동 서울여성병원 인근,1,3,백색,684,산만함 & 홍역음성(7/18) & 파보음성(7/18) & 코로나음성(7/18),2023-07-18,2023-07-17,23-3-229,2023-07-15,시바,8.5kg
93,2,2년령(추정),43331,2,23-4-223.jpg,202307/20230717103929613.jpg,학하동 학의뜰 106동 주변,4,4,회색,1174,비만 & 파보음성(7/18),2023-07-31,2023-07-17,23-4-223,2023-07-16,러시안블루,5.66kg
94,7,1년령(추정),43330,1,23-1-212.jpg,202307/20230717103027766.jpg,대전천동로 214 인근,4,1,백색,3,칩존재 & 현장반환,2023-07-17,2023-07-17,23-1-212,2023-07-15,진도,20kg(추정)
95,5,2개월령(추정),43329,2,23-3-230.jpg,202307/20230717103503790.jpg,가수원동,5,3,흑백색,5,교통사고,2023-07-17,2023-07-16,23-3-230,2023-07-16,코리안숏헤어,0.8kg(추정)
96,4,3개월령(추정),43328,1,23-5-130.jpg,202307/20230716050800344.jpg,우암로492번길 79 주변,1,5,황색,2610,유치잔존 & 홍역음성(7/16) & 파보음성(7/16) & 코로나음성(7/16),2023-08-04,2023-07-16,23-5-130,2023-07-16,푸들,4.5kg
97,7,5년령(추정),43327,1,23-4-222.jpg,202307/20230716111611751.jpg,유성구 용계동 511-1 주변,2,4,황색,893,목줄착용 & 양쪽귓등상처 & 비만 & 앉아훈련되어있음 & 홍역음성(7/16) & 파보음성(7/16) & 코로나음성(7/16) & 혈설사(8/3) & 코로나음성(8/3) & 파보음성(8/3) & 양쪽귓등상처 호전(8/3),2023-08-04,2023-07-16,23-4-222,2023-07-16,리트리버,31.5kg
98,2,2개월령(추정),43326,1,23-4-221.jpg,202307/20230716111534642.jpg,유성구 계산동 155-1 인근,2,4,황백색,935,목줄착용 & 유치잔존 & 각질 & 홍역음성(7/16) & 파보음성(7/16) 코로나음성(7/16),2023-07-24,2023-07-16,23-4-221,2023-07-16,믹스,0.8kg(추정)
